"source","target","sign","weight","equation","edge_mode","inertia","target_class","causal_mechanism","evidence_source","evidence_strength","bidirectional_pair_id","status","review_notes"
"unemployment_rate","labor_force_participation_rate","negative","-0.18","","","5","medium","Weak labor markets discourage participation","OECD labor participation evidence","high","","rejected","batch1_labor_prices; strict_purge_2026_03_08"
"nominal_minimum_wage","labor_force_participation_rate","positive","0.08","","","5","medium","Higher wage floor can increase participation incentives","Labor supply elasticity literature","medium","","rejected","batch1_labor_prices; strict_purge_2026_03_08"
"net_migration_rate","labor_force_participation_rate","positive","0.10","","","5","medium","In-migration can expand active labor force","Eurostat migration-labor evidence","medium","","rejected","batch5_education_humancapital; strict_purge_2026_03_08"
"gdp","tax_revenue","positive","0.22","","","5","medium","Expansion raises tax base and receipts","National accounts identity logic","high","","rejected","batch4_distribution_unblock; strict_purge_2026_03_08"
"unemployment_rate","tax_revenue","negative","-0.18","","","5","medium","Higher unemployment compresses taxable labor income","OECD labor-tax base evidence","high","","rejected","batch1_labor_prices; strict_purge_2026_03_08"
"inflation_consumer_prices","tax_revenue","positive","0.06","","","5","medium","Nominal price growth can temporarily lift nominal tax intake","Fiscal drag literature","low","","rejected","batch1_labor_prices; strict_purge_2026_03_08"
"nominal_minimum_wage","total_fertility_rate","positive","0.09","","","9","slow","Improved household income can support childbearing decisions","Demographic economics evidence","medium","","rejected","batch3_poverty_inequality; strict_purge_2026_03_08"
"home_ownership_rate","total_fertility_rate","positive","0.08","","","9","slow","Housing security can increase fertility intentions","European fertility-housing studies","medium","","rejected","batch4_distribution_unblock; strict_purge_2026_03_08"
"unemployment_rate","total_fertility_rate","negative","-0.12","","","9","slow","Labor insecurity delays family formation","OECD fertility labor evidence","high","","rejected","batch3_poverty_inequality; strict_purge_2026_03_08"
"central_bank_policy_rate","renewable_energy_consumption","negative","-0.10","","","5","medium","Higher financing costs can slow green investment","IEA investment sensitivity evidence","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"gdp","renewable_energy_consumption","positive","0.08","","","5","medium","Greater fiscal and private capacity supports clean rollout","Energy transition finance evidence","low","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"co2_emissions_per_capita","renewable_energy_consumption","negative","-0.12","","","6","medium","Higher fossil intensity implies lower renewable share","Energy balance identity logic","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"unemployment_rate","poverty_headcount_ratio","positive","0.24","","","9","slow","Joblessness is a core poverty driver","World Bank poverty labor evidence","high","","rejected","batch3_poverty_inequality; strict_purge_2026_03_08"
"gini_coefficient","poverty_headcount_ratio","positive","0.18","","","9","slow","Higher inequality raises poverty risk at fixed mean income","Distributional poverty arithmetic","high","","rejected","batch3_poverty_inequality; strict_purge_2026_03_08"
"average_annual_real_wages","poverty_headcount_ratio","negative","-0.16","","","9","slow","Real wage growth reduces poverty incidence","ILO wage-poverty evidence","high","","rejected","batch3_poverty_inequality; strict_purge_2026_03_08"
"central_bank_policy_rate","foreign_direct_investment_net","negative","-0.10","","","5","medium","Higher rates can reduce investment attractiveness at margin","FDI financing cost evidence","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"inflation_consumer_prices","foreign_direct_investment_net","negative","-0.12","","","5","medium","Price instability discourages foreign capital inflows","Investment climate literature","high","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"gdp","foreign_direct_investment_net","positive","0.10","","","5","medium","Larger markets attract more foreign direct investment","UNCTAD market-size effect","high","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"public_expenditure_on_health","maternal_mortality_ratio","negative","-0.18","","","9","slow","Better funded maternal services reduce fatal complications","WHO maternal health evidence","high","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"physicians_per_1000_people","maternal_mortality_ratio","negative","-0.12","","","9","slow","Clinical capacity improves obstetric outcomes","WHO workforce evidence","high","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"poverty_headcount_ratio","maternal_mortality_ratio","positive","0.10","","","9","slow","Poverty worsens maternal risk factors and access","UN maternal health inequity evidence","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"net_migration_rate","population_density","positive","0.14","","","9","slow","Net inflows increase resident concentration over time","INE demographic accounting","high","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"urban_population","population_density","positive","0.10","","","9","slow","Urban concentration raises effective density","Urbanization statistics logic","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"life_expectancy_at_birth","population_density","positive","0.06","","","10","slow","Longer lives can slowly raise resident stock density","Demographic stock-flow logic","low","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"fixed_broadband_subscriptions","individuals_using_internet","positive","0.20","","","5","medium","Connectivity infrastructure increases internet adoption","ITU digital access evidence","high","","rejected","batch2_activate_dormant; strict_purge_2026_03_08"
"average_annual_real_wages","individuals_using_internet","positive","0.10","","","5","medium","Higher real income supports device and service uptake","Digital divide income evidence","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"tertiary_education_attainment","individuals_using_internet","positive","0.10","","","5","medium","Education level increases digital usage rates","OECD digital skills evidence","high","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"gdp","access_to_electricity","positive","0.06","","","10","slow","Economic capacity sustains grid reliability and coverage","World Bank infrastructure evidence","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"population_density","access_to_electricity","negative","-0.04","","","10","slow","Remote low-density tails make universal coverage harder","Utility access economics evidence","low","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"public_expenditure_on_health","access_to_electricity","positive","0.03","","","10","slow","Public infrastructure capacity correlates with service access quality","Public investment linkage evidence","low","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"public_expenditure_on_education","mean_years_of_schooling","positive","0.14","","","9","slow","Education spending improves completed schooling over time","UNESCO attainment evidence","high","","rejected","batch5_education_humancapital; strict_purge_2026_03_08"
"tertiary_education_attainment","mean_years_of_schooling","positive","0.10","","","9","slow","Higher tertiary completion raises cohort average schooling years","OECD attainment evidence","high","","rejected","batch5_education_humancapital; strict_purge_2026_03_08"
"poverty_headcount_ratio","mean_years_of_schooling","negative","-0.08","","","9","slow","Poverty drives early dropout risk","Education inequality evidence","medium","","rejected","batch4_distribution_unblock; strict_purge_2026_03_08"
"net_migration_rate","urban_population","positive","0.12","","","9","slow","Migrants disproportionately settle in cities","Urban migration evidence","high","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"home_ownership_rate","urban_population","negative","-0.06","","","9","slow","Higher ownership in peripheral areas can reduce urban share growth","Housing geography evidence","low","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"labor_force_participation_rate","urban_population","positive","0.05","","","9","slow","Employment concentration in cities increases urban share over time","Labor geography evidence","low","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"total_fertility_rate","median_age","negative","-0.16","","","10","slow","Higher fertility lowers long-run median age structure","Demographic identity logic","high","","rejected","batch3_poverty_inequality; strict_purge_2026_03_08"
"life_expectancy_at_birth","median_age","positive","0.14","","","10","slow","Longer survival raises median age","Population age structure evidence","high","","rejected","batch3_poverty_inequality; strict_purge_2026_03_08"
"net_migration_rate","median_age","negative","-0.08","","","9","slow","Working-age immigration reduces population median age","INE migration age-profile evidence","medium","","rejected","batch4_distribution_unblock; strict_purge_2026_03_08"
"unemployment_rate","net_migration_rate","negative","-0.18","","","5","medium","Weak labor demand reduces inward migration attractiveness","Migration pull-factor literature","high","","rejected","batch3_poverty_inequality; strict_purge_2026_03_08"
"average_annual_real_wages","net_migration_rate","positive","0.14","","","5","medium","Higher real wages attract migrants","OECD migration wage evidence","high","","rejected","batch3_poverty_inequality; strict_purge_2026_03_08"
"home_ownership_rate","net_migration_rate","negative","-0.06","","","6","medium","Housing access constraints can deter settlement inflows","Housing affordability migration evidence","medium","","rejected","batch4_distribution_unblock; strict_purge_2026_03_08"
"unemployment_rate","suicide_mortality_rate","positive","0.10","","","9","slow","Labor stress contributes to suicide risk","WHO social determinants evidence","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"inflation_consumer_prices","suicide_mortality_rate","positive","0.06","","","9","slow","Cost-of-living stress can worsen mental health outcomes","Public health economic stress evidence","low","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"physicians_per_1000_people","suicide_mortality_rate","negative","-0.08","","","9","slow","Mental health service capacity can reduce mortality","WHO service access evidence","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"public_expenditure_on_health","physicians_per_1000_people","positive","0.12","","","9","slow","Health funding supports hiring and retention of doctors","OECD workforce finance evidence","high","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"average_annual_real_wages","physicians_per_1000_people","positive","0.08","","","9","slow","Higher real compensation improves physician supply","Health labor market evidence","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"net_migration_rate","physicians_per_1000_people","positive","0.04","","","9","slow","Immigration can augment healthcare workforce","OECD foreign-trained physician evidence","low","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"average_annual_real_wages","mobile_cellular_subscriptions","positive","0.10","","","5","medium","Higher income supports multiple subscriptions and device access","ITU affordability evidence","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"individuals_using_internet","mobile_cellular_subscriptions","positive","0.12","","","5","medium","Digital use growth increases mobile data demand","ITU usage trends","high","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"urban_population","mobile_cellular_subscriptions","positive","0.06","","","6","medium","Urbanization increases network penetration efficiency","Telecom deployment evidence","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"urban_population","arable_land","negative","-0.10","","","10","slow","Urban expansion can reduce cultivable land share","Land-use change evidence","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"forest_area","arable_land","negative","-0.08","","","10","slow","Forest expansion can compete with cultivated area share","Land competition accounting","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"co2_emissions_per_capita","arable_land","negative","-0.04","","","10","slow","Climate stress can degrade productive arable area over time","IPCC land impact evidence","low","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"urban_population","forest_area","negative","-0.10","","","10","slow","Urban sprawl pressures forest coverage","Land-use change evidence","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"renewable_energy_consumption","forest_area","positive","0.05","","","10","slow","Cleaner energy transition can reduce deforestation pressure","Energy-land interaction evidence","low","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"air_pollution_pm25","forest_area","negative","-0.04","","","10","slow","Pollution stress can degrade forest health over long horizons","Environmental health evidence","low","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"inflation_consumer_prices","central_bank_policy_rate","positive","0.26","","","2","fast","Policy rate reacts to inflation deviations","Taylor-rule style policy behavior","high","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"gdp","central_bank_policy_rate","positive","0.08","","","3","fast","Strong activity can support tighter policy stance","Monetary policy reaction function evidence","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"foreign_direct_investment_net","central_bank_policy_rate","negative","-0.04","","","3","fast","Weak external financing can bias policy toward accommodation","Macro-financial policy logic","low","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"unemployment_rate","trade_union_density_rate","negative","-0.10","","","10","slow","Persistent unemployment weakens union bargaining power","OECD union dynamics evidence","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"gini_coefficient","trade_union_density_rate","positive","0.06","","","10","slow","Higher inequality can increase demand for collective bargaining","Labor politics evidence","low","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"nominal_minimum_wage","trade_union_density_rate","positive","0.04","","","10","slow","Institutional wage setting can support union relevance","Industrial relations evidence","low","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"tertiary_education_attainment","average_annual_real_wages","positive","0.20","","","5","medium","Human capital raises average productivity and wages","OECD wage-skill premium evidence","high","","rejected","batch3_poverty_inequality; strict_purge_2026_03_08"
"unemployment_rate","average_annual_real_wages","negative","-0.16","","","5","medium","Labor slack depresses real wage growth","Phillips curve wage literature","high","","rejected","batch3_poverty_inequality; strict_purge_2026_03_08"
"inflation_consumer_prices","average_annual_real_wages","negative","-0.12","","","4","medium","Higher inflation erodes real earnings if wages lag","Real wage accounting identity","high","","rejected","batch3_poverty_inequality; strict_purge_2026_03_08"
"intentional_homicide_rate","incarceration_rate","positive","0.12","","","5","medium","Higher serious crime can increase incarceration flows","Criminal justice flow evidence","high","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"poverty_headcount_ratio","incarceration_rate","positive","0.08","","","5","medium","Social deprivation correlates with incarceration risk","Criminology social determinants evidence","medium","","rejected","batch4_distribution_unblock; strict_purge_2026_03_08"
"unemployment_rate","incarceration_rate","positive","0.06","","","5","medium","Labor exclusion raises justice-system contact risk","Labor-crime empirical evidence","low","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"urban_population","road_traffic_mortality_rate","negative","-0.06","","","9","slow","Urban lower speeds can reduce fatal crash severity","Road safety evidence","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"air_pollution_pm25","road_traffic_mortality_rate","positive","0.05","","","9","slow","Heavier traffic environment can proxy crash exposure","Road exposure proxy logic","low","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"gdp","road_traffic_mortality_rate","negative","-0.06","","","9","slow","Higher income supports safer vehicles and infrastructure","World Bank road safety evidence","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"nominal_minimum_wage","home_ownership_rate","positive","0.12","","","9","slow","Higher earnings improve mortgage affordability over time","Housing affordability evidence","high","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"central_bank_policy_rate","home_ownership_rate","negative","-0.14","","","8","slow","Higher rates reduce mortgage affordability and ownership flow","Housing finance evidence","high","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"inflation_consumer_prices","home_ownership_rate","negative","-0.08","","","8","slow","High prices and rates jointly squeeze housing access","Housing cost dynamics evidence","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"public_expenditure_on_education","tertiary_education_attainment","positive","0.18","","","6","medium","Education investment supports tertiary completion","OECD education finance evidence","high","","rejected","batch2_activate_dormant; strict_purge_2026_03_08"
"adult_literacy_rate","tertiary_education_attainment","positive","0.10","","","6","medium","Stronger foundational skills improve higher-education progression","Education pipeline evidence","high","","rejected","batch2_activate_dormant; strict_purge_2026_03_08"
"poverty_headcount_ratio","tertiary_education_attainment","negative","-0.12","","","6","medium","Poverty reduces tertiary access and completion","Equity in education evidence","high","","rejected","batch2_activate_dormant; strict_purge_2026_03_08"
"average_annual_real_wages","adult_obesity_rate","negative","-0.06","","","9","slow","Higher purchasing power can improve diet quality access","Nutrition socioeconomic evidence","low","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"urban_population","adult_obesity_rate","positive","0.06","","","9","slow","Urban sedentary lifestyles can increase obesity prevalence","Public health urbanization evidence","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"public_expenditure_on_health","adult_obesity_rate","negative","-0.08","","","9","slow","Prevention and primary care can lower obesity growth","WHO NCD prevention evidence","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"unemployment_rate","youth_unemployment_rate","positive","0.34","","","2","fast","General labor slack strongly transmits to youth unemployment","Eurostat youth labor evidence","high","","rejected","batch1_labor_prices; strict_purge_2026_03_08"
"tertiary_education_attainment","youth_unemployment_rate","negative","-0.16","","","3","fast","Higher attainment improves youth employability","OECD youth employment evidence","high","","rejected","batch1_labor_prices; strict_purge_2026_03_08"
"labor_force_participation_rate","youth_unemployment_rate","positive","0.10","","","3","fast","More active youth job search can raise measured youth unemployment in weak markets","Labor force accounting logic","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"co2_emissions_per_capita","air_pollution_pm25","positive","0.16","","","5","medium","Fossil fuel combustion drives both carbon and particulates","EEA emissions source evidence","high","","rejected","batch2_activate_dormant; strict_purge_2026_03_08"
"renewable_energy_consumption","air_pollution_pm25","negative","-0.12","","","5","medium","Clean energy reduces combustion-related particulate exposure","IEA clean energy air-quality evidence","high","","rejected","batch2_activate_dormant; strict_purge_2026_03_08"
"urban_population","air_pollution_pm25","positive","0.10","","","5","medium","Urban concentration raises transport and heating pollution exposure","WHO urban air evidence","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"average_annual_real_wages","fixed_broadband_subscriptions","positive","0.14","","","5","medium","Higher income improves household broadband adoption","ITU affordability evidence","high","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"urban_population","fixed_broadband_subscriptions","positive","0.10","","","5","medium","Urban density lowers per-user broadband rollout costs","Telecom infrastructure economics evidence","high","","rejected","batch2_activate_dormant; strict_purge_2026_03_08"
"public_expenditure_on_education","fixed_broadband_subscriptions","positive","0.06","","","5","medium","Education digitalization programs can lift broadband uptake","Digital policy evidence","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"incomeTax","consumption","negative","-0.60","","","2","fast","Higher income taxes reduce disposable income and household spending.","Household consumption theory","high","","rejected","legacy_import_existing_relationship; replaced_by_disposable_income_mediator_2026_03_08"
"vat","consumption","negative","-0.40","","","2","fast","Higher consumption taxes reduce real purchasing power and spending.","VAT pass-through and demand evidence","high","","rejected","legacy_import_existing_relationship; policy_adjusted_to_comply; replaced_by_disposable_income_mediator_2026_03_08"
"welfareSpending","consumption","positive","0.35","","","2","fast","Transfer spending supports consumption among high-marginal-propensity households.","Fiscal transfer multipliers","high","","rejected","legacy_import_existing_relationship; policy_adjusted_to_comply; replaced_by_disposable_income_mediator_2026_03_08"
"nominal_minimum_wage","consumption","positive","0.25","","","2","fast","Higher minimum wages can increase lower-income household consumption.","Minimum wage demand effects literature","medium","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"rentBurden","consumption","negative","-0.30","","","2","fast","Higher rent costs crowd out other household consumption.","Household budget share evidence","high","","rejected","legacy_import_existing_relationship; replaced_by_disposable_income_mediator_2026_03_08"
"corporateTax","investment","negative","-0.40","","","4","medium","Higher corporate taxation lowers after-tax returns on investment.","Business investment tax elasticity literature","high","","rejected","legacy_import_existing_relationship; policy_adjusted_to_comply; strict_purge_2026_03_08"
"taxPolicy.wealthTax","investment","negative","-0.20","","","3","fast","Wealth taxation can reduce investable private capital at the margin.","Capital taxation literature","medium","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"housingPolicy.goldenVisa","investment","positive","0.30","","","3","fast","Looser golden-visa channels can increase real-estate-linked investment inflows.","FDI and residency program evidence","medium","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"taxPolicy.nhrRegime","investment","positive","0.25","","","4","medium","Favorable NHR treatment can attract capital and entrepreneurial investment.","Tax competitiveness evidence","medium","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"corporateTax","netExports","negative","-0.15","","","4","medium","Higher corporate taxes can weaken competitiveness and export performance.","Competitiveness and tax burden literature","medium","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"digitalInfrastructure","netExports","positive","0.10","","","6","medium","Digital capacity improves tradable services and export competitiveness.","Digital trade competitiveness evidence","medium","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"welfareSpending","happiness","positive","0.50","","","2","fast","Social protection reduces insecurity and improves subjective wellbeing.","Wellbeing and social spending literature","high","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"policeSpending","safety","positive","0.60","","","3","fast","Police capacity can reduce crime exposure and improve perceived safety.","Public safety resource evidence","medium","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"justiceSpending","safety","positive","0.40","","","3","fast","Judicial effectiveness supports deterrence and social order.","Rule-of-law and safety evidence","medium","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"greenEnergy","health","positive","0.30","","","3","fast","Cleaner energy transition lowers harmful pollution exposure and health burden.","Environmental health evidence","high","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"housingPolicy.maisHabitacao","rentBurden","negative","-0.30","","","3","fast","Housing supply and rental measures reduce rent pressure over time.","Housing supply-price relationship","high","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"housingPolicy.rentControl","rentBurden","negative","-0.42","","","2","fast","Rent controls can directly cap rental cost growth for households.","Rent regulation policy evidence","medium","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"housingPolicy.goldenVisa","rentBurden","positive","0.24","","","3","fast","Investment-driven housing demand can raise rents in constrained markets.","Housing demand pressure evidence","medium","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"housingPolicy.maisHabitacao","youthIndependence","positive","0.28","","","3","fast","Improved housing access increases young-adult residential independence.","Housing affordability and emancipation evidence","high","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"laborPolicy.youthJobs","youthIndependence","positive","0.34","","","2","fast","Youth employment support increases income needed for independent living.","Youth labor market program evidence","high","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"housingPolicy.goldenVisa","happiness","negative","-0.30","","","3","fast","Housing affordability pressure from demand shocks can lower wellbeing.","Cost-of-living wellbeing literature","medium","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"housingPolicy.alTaxes","happiness","positive","0.22","","","3","fast","Short-term rental taxation can ease housing pressure and improve resident wellbeing.","Local housing policy evidence","medium","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"housingPolicy.rentControl","happiness","positive","0.28","","","2","fast","Rent stabilization can reduce household stress and improve wellbeing.","Housing security and wellbeing evidence","medium","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"nominal_minimum_wage","happiness","positive","0.35","","","2","fast","Higher minimum wages can improve financial security and life satisfaction.","Income and wellbeing literature","high","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"laborPolicy.youthJobs","unemployment_rate","negative","-0.50","","","2","fast","Targeted youth hiring programs can lower overall unemployment pressure.","Active labor market policy evidence","high","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"rentBurden","happiness","negative","-0.45","","","2","fast","Housing cost stress lowers household wellbeing and satisfaction.","Housing cost burden wellbeing evidence","high","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"youthIndependence","happiness","positive","0.25","","","3","fast","Greater independent living among youth is associated with higher wellbeing.","Youth transition wellbeing studies","medium","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"health","happiness","positive","0.30","","","3","fast","Better health status increases quality of life and happiness.","Health-wellbeing empirical evidence","high","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"education","happiness","positive","0.20","","","4","medium","Higher education outcomes correlate with better life opportunities and wellbeing.","Education and wellbeing evidence","medium","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"safety","happiness","positive","0.25","","","2","fast","Safer communities improve perceived quality of life and happiness.","Public safety wellbeing evidence","high","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"unemployment_rate","gdp","negative","-0.20","","","2","fast","Higher unemployment reflects underused labor and lower output potential.","Okun relationship evidence","high","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"unemployment_rate","happiness","negative","-0.50","","","3","fast","Joblessness reduces income security and psychological wellbeing.","Unemployment wellbeing literature","high","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
